etso;nm_source;proprietario;operatore;impianto;company;localita_estesa;localita;provincia;latitudine;longitudine;zona;descrizione;tipo;sottotipo;mgp;mi;msd;pmin;pmax
UP_C.T.E.C_1;;AEM GESTIONI SRL;LINEA PIU' SPA;C.T.E.C.;LINEA PIU';26100 CREMONA CR;CREMONA;CR;45,1363564;9,9909166;NORD;CENTRALE DI COGENERAZIONE CON CICLO COMBINATO.;TERMICO;COMBINATO;SI;SI;NO;2;16
UP_ROCCAROSSA_1;;AERO ROSSA S.R.L.;ALPIQ ENERGIA ITALIA SPA;Rocca Rossa;ALPIQ;ROCCA ROSSA PA;ROCCA ROSSA;PA;38,0393691;13,4514127;SICI;Impianto eolico località Rocca Rossa;EOLICO;EOLICO;SI;SI;NO;0;84
UP_GIUNCHETTO_1;;AERO-CHETTO SRL;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;GIUNCHETTO;GSE;94014 NICOSIA EN;NICOSIA;EN;37,6959257;14,3790635;SICI;IMPIANTO EOLICO 35 AEROGENERATORI VESTAS V52;EOLICO;EOLICO;SI;SI;NO;0;29,75
UP_FRNCOFONTE_1;;AERO-FONTE S.R.L.;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;FRANCOFONTE;GSE;96015 FRANCOFONTE SR;FRANCOFONTE;SR;37,2276838;14,8773458;SICI;PARCO EOLOCO ;EOLICO;EOLICO;SI;SI;NO;0;72
UP_CADELBUE_3;;AGSM VERONA SPA;2V ENERGY;CA DEL BUE;2V;Loc. CÀ DEL BUE VR;Loc. CÀ DEL BUE;VR;45,3779009;11,0348528;NORD;TURBOGAS + CICLI OTTOTURBINA A VAPORE + FORNI QUOTA CIP6 ;TERMICO;MISTO;SI;SI;NO;0;38
UP_CGCNTRCTTA_1;;AGSM VERONA SPA;2V ENERGY;COGE. CENTRO CITTA';2V; VERONA VR;VERONA;VR;45,4263052;10,957512;NORD;COGENERAZIONE CON MOTORI A CICLO OTTO A GAS NATURALE PER TELERISCALDAMENTO URBANO;AUTOPRODUTTORE;Termico TRADIZIONALE;SI;SI;NO;0;11,25
UP_MPNTLCCSNI_1;;AGSM VERONA SPA;2V ENERGY;IMPIANTO EOLICO CASONI;2V;CASONI ROMAGNA RE;CASONI ROMAGNA;RE;44,9375947;10,7310271;NORD;IMPIANTO EOLICO CASONI ROMAGNA16 AEROGENERATORI DA 810 KW ;EOLICO;EOLICO;SI;SI;NO;0;12,8
UP_LBPOWERSPA_1;;ALBA POWER S.P.A.;EGEA COMMERCIALE SRL;ALBAPOWER SPA;ALBA POWER;12051 ALBA CN;ALBA;CN;44,6862125;7,9624221;NORD;CENTRALE COGENERATIVA POTENZIALITA` 49,95 MW;TERMICO;COMBINATO;SI;SI;NO;20;49,95
UP_LTMPPSANIA_1;;ALPIQ WIND ITALIA SRL;ALPIQ ENERGIA ITALIA SPA;EOLO TEMPIO PAUSANIA;ALPIQ;07029 TEMPIO PAUSANIA OT;TEMPIO PAUSANIA;OT;40,9010398;9,0966471;SICI;CAMPO EOLICO RAMACCA,CASTEL DI JUDICA,RADDUSATORRI DEPOTENZIATE A 1.5 MW (VALORE TARGA 1.67 MW) ;EOLICO;EOLICO;SI;SI;NO;0;70,5
UP_MPNTLCDMRN_1;;ALPIQ WIND ITALIA SRL;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;IMPIANTO EOLICO DI MARINEO;GSE;90035 MARINEO PA;MARINEO;PA;37,9520151;13,4144258;SICI;IMPIANTO EOLICO DI MARINEO (26 TORRI DA 0,86 MWDI POTENZA CIASCUNA);EOLICO;EOLICO;SI;SI;NO;0;22,36
